station,Year,Month,Day,Hour,valid,tmpf,dwpf,relh,feel,drct,sped,mslp
NYC,2020,1,1,1,2020-01-01 01:00:00,40.0,26.1,57.47,34.41,270.0,8.05,1003.7
NYC,2020,1,1,2,2020-01-01 02:00:00,39.0,27.0,61.78,33.31,280.0,8.05,1004.0
NYC,2020,1,1,3,2020-01-01 03:00:00,39.0,26.1,59.52,30.91,260.0,13.8,1004.3
NYC,2020,1,1,4,2020-01-01 04:00:00,39.0,24.1,54.77,31.75,250.0,11.5,1004.8
NYC,2020,1,1,5,2020-01-01 05:00:00,38.0,23.0,54.6,33.4,250.0,5.75,1004.8
NYC,2020,1,1,6,2020-01-01 06:00:00,37.0,21.9,54.01,34.4,250.0,3.45,1005.3
NYC,2020,1,1,7,2020-01-01 07:00:00,37.0,25.0,61.5,30.87,260.0,8.05,1005.6
NYC,2020,1,1,8,2020-01-01 08:00:00,37.4,24.8,60.04,31.36,270.0,8.05,1005.6
NYC,2020,1,1,9,2020-01-01 09:00:00,37.0,21.9,54.01,29.24,270.0,11.5,1006.8
NYC,2020,1,1,10,2020-01-01 10:00:00,38.0,21.9,52.13,33.4,270.0,5.75,1007.6
NYC,2020,1,1,11,2020-01-01 11:00:00,38.0,19.0,46.08,30.37,280.0,11.5,1007.4
NYC,2020,1,1,12,2020-01-01 12:00:00,39.0,18.0,42.28,31.75,290.0,11.5,1007.0
NYC,2020,1,1,13,2020-01-01 13:00:00,38.0,19.0,46.08,31.97,270.0,8.05,1006.7
NYC,2020,1,1,14,2020-01-01 14:00:00,38.0,18.0,44.14,31.38,290.0,9.2,1006.9
NYC,2020,1,1,15,2020-01-01 15:00:00,38.0,19.0,46.08,30.37,280.0,11.5,1007.5
NYC,2020,1,1,16,2020-01-01 16:00:00,38.0,19.0,46.08,30.85,280.0,10.35,1008.3
NYC,2020,1,1,17,2020-01-01 17:00:00,38.0,19.9,47.89,32.64,280.0,6.9,1009.5
